poster_path,genres,director,mainCharactor,introduction,mainCharactorID,directorID,액션,모험,판타지,가족,애니메이션,코미디,SF,드라마,공포,스릴러,범죄,미스터리,음악,역사,TV 영화,전쟁,로맨스,다큐멘터리,서부,predict
https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20220718_53%2F1658127057578b3bsI_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,['애니메이션'],소토자키 하루오,하나에 나츠키,"귀살대에 입대한 탄지로는 매일 소녀가 실종된다고 하는 마을로 향한다. 혈귀의 냄새는 나지만 그 모습을 찾을 수 없는 가운데, 새로운 소녀에게 혈귀의 손이 다가온다. 그다음으로 탄지로가 방문한 곳은 아사쿠사. 화려한 도시와 즐비한 상점에 당황하는 탄지로는 그곳에서 혈귀의 냄새를 찾아낸다. 그 냄새는 인간을 혈귀로 바꿀 수 있는 유일한 존재이자 탄지로의 숙적이기도 한 키부츠지 무잔의 것이었다. 이윽고 탄지로의 앞에 타마요와 유시로가 나타나는데…",3550,3150,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.509248
https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20220804_274%2F1659596168421UMhpw_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,"['멜로/로맨스', '드라마', '코미디']",요아킴 트리에,레나테 레인스베,"의학을 공부하던 스물아홉 율리에는 자신이 진짜 원하는 걸 찾아 세상으로 나온다. 파티에서 만난 만화가 악셀과 사랑에 빠진 율리에, 하지만 삶의 다른 단계에서 만난 두 사람은 각자 다른 걸 원했고 조금씩 어긋난다. “내 삶에서 조연 역할을 하는 것 같아…” 율리에는 인생의 다음 챕터로 달려나간다.",3551,3151,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0.5691553
https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20220809_282%2F1660033344045dH69T_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,['드라마'],곽민승,심달기,전염병 유행으로 집에만 콕 박혀 있는 청년 백수 ‘주리’ 배고픔도 실연의 아픔도 모두 집에서 해결한다 어느 날 자취방을 부동산에 내놓았다는 연락과 함께 엄마의 김밥집을 운영하라는 미션이 주어지는데… 인생도 김밥처럼 요령껏 말 수 없나? 스물다섯 주리의 명랑한 자력갱생이 시작된다,3552,3152,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5787745
https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20220719_202%2F1658204796224qbsmo_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,"['공포', '미스터리', '스릴러']",알란 파커,미키 루크,"1955년, 어느 날 ‘사이퍼’라는 사람으로부터 사건 의뢰를 받은 뉴욕 사립 탐정 ‘해리 엔젤’. 세계2차대전 중 부상으로 식물인간이 되어 12년간 병원 생활을 하다 얼마 전 실종된 가수 자니 패이버릿을 찾는 일. 사건 조사는 12년간 그가 입원했던 병원에서부터 시작된다. 그러나 엔젤이 만난 사람들이 차례차례 시체로 발견되고 자니의 행적은 더욱 미묘해지는데… 충격과 공포의 오컬트 명작을 다시 만난다!",3553,3153,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.50700414
https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20220803_74%2F1659517465834Cwwtb_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,['다큐멘터리'],김새봄,김춘나,소녀 감성의 작은새와 흥도 많고 호탕하지만 눈물 많은 돼지씨는 연애 시절 시처럼 감미로운 손편지로 사랑을 속삭였다. 이들은 어느덧 황혼의 부부가 되어 글과 그림에 담아낸다.,3554,3154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5092492
https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20220805_205%2F1659685666310xeDfv_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,['드라마'],강대희,박서진,"얼떨결에 오게 된 양양, 얼떨결에 도전해본 서핑. 꿈은 많고, 되는 건 없는 20대 청춘 세진에게 파도는 말한다. “일단 넘어져!” 뭐든 한번 해보면, 다음은 보드위에 올라설 수 있다고. 세진은 시원하게 넘어지기 위한 발걸음을 떼기 시작한다.",3555,3155,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.57877547
https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20220805_260%2F1659690215201klJS7_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,"['드라마', '스릴러']",황준하,김다솔,"이제 막 3개월차가 된 간호사 ‘다솔’. 신종 전염병 확산으로 병원이 급박하게 돌아가자, 얼떨결에 신규간호사 ‘은비’의 교육을 떠맡는다. 다솔은 은비에게 자신이 당한 괴롭힘 ‘태움’을 절대 대물림하지 않겠다고 다짐한다. 하지만 은비가 응급치료 도중 큰 사고를 내자 결국 다솔도 폭발하고 마는데… 전염병, 막을 수 있을까? 태움, 끝낼 수 있을까? 폭력에 관한 가장 슬프고 섬뜩한 진실을 만난다",3556,3156,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.47865522
https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20220727_288%2F1658911236576PrgKi_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,['멜로/로맨스'],김수정,박서함,"컴공과 '아싸' 추상우의 완벽하게 짜인 일상에 에러처럼 나타난 안하무인 디자인과 '인싸' 장재영, 극과 극 청춘들의 캠퍼스 로맨스가 스크린으로 펼쳐진다!",3557,3157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.48682508
https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20220804_13%2F1659589405941IYFOS_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,"['범죄', '스릴러']",이승준,이정현,"아동 연쇄 유괴사건 발생으로 수사를 위해 피해자 엄마 대역을 맡게 된 경찰 ‘소은’(이정현) 사건의 실마리가 잡히지 않아 수사에 난항을 겪고 있는 도중 ‘소은’은 누군가로부터 의문의 전화 한 통을 받는다. 그리고, 수화기 너머 들려오는 익숙한 목소리 범인은 대역이 아닌 ‘소은’과의 협상을 요구하는데… 유괴사건의 골든타임 48시간 타깃이 된 그녀의 강렬한 추격이 시작된다!",3558,3158,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.58587563
https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20220811_274%2F16602087288380Q7JG_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,"['미스터리', '드라마']",미셸 프랑코,팀 로스,부유한 영국인 닐(팀 로스)은 여동생 앨리스(샤를로트 갱스부르) 가족과 멕시코 바닷가에서 휴가를 즐기던 중 어머니 사망 소식을 듣는다. 닐은 여권을 잃어버렸다며 가족들을 먼저 영국으로 보내고 자신은 유유히 어느 해변으로 들어가 일광욕을 즐긴다. 영문을 알 수 없는 그의 일탈은 예상치 못한 사건을 불러 일으키는데…,3559,3159,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.5065976
